DSA|Title|Level|Question|YoutubeLink
Arrays & Hashing|Contains Duplicate|Easy|<div class="elfjS" data-track-load="description_content"><p>Given an integer array <code>nums</code>, return <code>true</code> if any value appears <strong>at least twice</strong> in the array, and return <code>false</code> if every element is distinct.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> nums = [1,2,3,1] <strong>Output:</strong> true </pre><p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> nums = [1,2,3,4] <strong>Output:</strong> false </pre><p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> nums = [1,1,1,3,3,4,3,2,4,2] <strong>Output:</strong> true </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= nums.length &lt;= 10<sup>5</sup></code></li> 	<li><code>-10<sup>9</sup> &lt;= nums[i] &lt;= 10<sup>9</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=3OamzN90kPg
Arrays & Hashing|Valid Anagram|Easy|<div class="elfjS" data-track-load="description_content"><p>Given two strings <code>s</code> and <code>t</code>, return <code>true</code> <em>if</em> <code>t</code> <em>is an anagram of</em> <code>s</code><em>, and</em> <code>false</code> <em>otherwise</em>.</p> <p>An <strong>Anagram</strong> is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> s = "anagram", t = "nagaram" <strong>Output:</strong> true </pre><p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> s = "rat", t = "car" <strong>Output:</strong> false </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= s.length, t.length &lt;= 5 * 10<sup>4</sup></code></li> 	<li><code>s</code> and <code>t</code> consist of lowercase English letters.</li> </ul> <p>&nbsp;</p> <p><strong>Follow up:</strong> What if the inputs contain Unicode characters? How would you adapt your solution to such a case?</p> </div>|https://www.youtube.com/watch?v=9UtInBqnCgA
Arrays & Hashing|Two Sum|Easy|<div class="elfjS" data-track-load="description_content"><p>Given an array of integers <code>nums</code>&nbsp;and an integer <code>target</code>, return <em>indices of the two numbers such that they add up to <code>target</code></em>.</p> <p>You may assume that each input would have <strong><em>exactly</em> one solution</strong>, and you may not use the <em>same</em> element twice.</p> <p>You can return the answer in any order.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> nums = [2,7,11,15], target = 9 <strong>Output:</strong> [0,1] <strong>Explanation:</strong> Because nums[0] + nums[1] == 9, we return [0, 1]. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> nums = [3,2,4], target = 6 <strong>Output:</strong> [1,2] </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> nums = [3,3], target = 6 <strong>Output:</strong> [0,1] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>2 &lt;= nums.length &lt;= 10<sup>4</sup></code></li> 	<li><code>-10<sup>9</sup> &lt;= nums[i] &lt;= 10<sup>9</sup></code></li> 	<li><code>-10<sup>9</sup> &lt;= target &lt;= 10<sup>9</sup></code></li> 	<li><strong>Only one valid answer exists.</strong></li> </ul> <p>&nbsp;</p> <strong>Follow-up:&nbsp;</strong>Can you come up with an algorithm that is less than <code>O(n<sup>2</sup>)</code><font face="monospace">&nbsp;</font>time complexity?</div>|https://www.youtube.com/watch?v=KLlXCFG5TnA
Arrays & Hashing|Group Anagrams|Medium|<div class="elfjS" data-track-load="description_content"><p>Given an array of strings <code>strs</code>, group <strong>the anagrams</strong> together. You can return the answer in <strong>any order</strong>.</p> <p>An <strong>Anagram</strong> is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> strs = ["eat","tea","tan","ate","nat","bat"] <strong>Output:</strong> [["bat"],["nat","tan"],["ate","eat","tea"]] </pre><p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> strs = [""] <strong>Output:</strong> [[""]] </pre><p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> strs = ["a"] <strong>Output:</strong> [["a"]] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= strs.length &lt;= 10<sup>4</sup></code></li> 	<li><code>0 &lt;= strs[i].length &lt;= 100</code></li> 	<li><code>strs[i]</code> consists of lowercase English letters.</li> </ul> </div>|https://www.youtube.com/watch?v=vzdNOK2oB2E
Arrays & Hashing|Top K Frequent Elements|Medium|<div class="elfjS" data-track-load="description_content"><p>Given an integer array <code>nums</code> and an integer <code>k</code>, return <em>the</em> <code>k</code> <em>most frequent elements</em>. You may return the answer in <strong>any order</strong>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> nums = [1,1,1,2,2,3], k = 2 <strong>Output:</strong> [1,2] </pre><p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> nums = [1], k = 1 <strong>Output:</strong> [1] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= nums.length &lt;= 10<sup>5</sup></code></li> 	<li><code>-10<sup>4</sup> &lt;= nums[i] &lt;= 10<sup>4</sup></code></li> 	<li><code>k</code> is in the range <code>[1, the number of unique elements in the array]</code>.</li> 	<li>It is <strong>guaranteed</strong> that the answer is <strong>unique</strong>.</li> </ul> <p>&nbsp;</p> <p><strong>Follow up:</strong> Your algorithm's time complexity must be better than <code>O(n log n)</code>, where n is the array's size.</p> </div>|https://www.youtube.com/watch?v=YPTqKIgVk-k
Arrays & Hashing|Encode and Decode Strings|Medium|<div class="elfjS" data-track-load="description_content"></div>|https://www.youtube.com/watch?v=B1k_sxOSgv8
Arrays & Hashing|Product of Array Except Self|Medium|<div class="elfjS" data-track-load="description_content"><p>Given an integer array <code>nums</code>, return <em>an array</em> <code>answer</code> <em>such that</em> <code>answer[i]</code> <em>is equal to the product of all the elements of</em> <code>nums</code> <em>except</em> <code>nums[i]</code>.</p> <p>The product of any prefix or suffix of <code>nums</code> is <strong>guaranteed</strong> to fit in a <strong>32-bit</strong> integer.</p> <p>You must write an algorithm that runs in&nbsp;<code>O(n)</code>&nbsp;time and without using the division operation.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> nums = [1,2,3,4] <strong>Output:</strong> [24,12,8,6] </pre><p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> nums = [-1,1,0,-3,3] <strong>Output:</strong> [0,0,9,0,0] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>2 &lt;= nums.length &lt;= 10<sup>5</sup></code></li> 	<li><code>-30 &lt;= nums[i] &lt;= 30</code></li> 	<li>The product of any prefix or suffix of <code>nums</code> is <strong>guaranteed</strong> to fit in a <strong>32-bit</strong> integer.</li> </ul> <p>&nbsp;</p> <p><strong>Follow up:</strong>&nbsp;Can you solve the problem in <code>O(1)</code>&nbsp;extra&nbsp;space complexity? (The output array <strong>does not</strong> count as extra space for space complexity analysis.)</p> </div>|https://www.youtube.com/watch?v=bNvIQI2wAjk
Arrays & Hashing|Valid Sudoku|Medium|<div class="elfjS" data-track-load="description_content"><p>Determine if a&nbsp;<code>9 x 9</code> Sudoku board&nbsp;is valid.&nbsp;Only the filled cells need to be validated&nbsp;<strong>according to the following rules</strong>:</p> <ol> 	<li>Each row&nbsp;must contain the&nbsp;digits&nbsp;<code>1-9</code> without repetition.</li> 	<li>Each column must contain the digits&nbsp;<code>1-9</code>&nbsp;without repetition.</li> 	<li>Each of the nine&nbsp;<code>3 x 3</code> sub-boxes of the grid must contain the digits&nbsp;<code>1-9</code>&nbsp;without repetition.</li> </ol> <p><strong>Note:</strong></p> <ul> 	<li>A Sudoku board (partially filled) could be valid but is not necessarily solvable.</li> 	<li>Only the filled cells need to be validated according to the mentioned&nbsp;rules.</li> </ul> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img src="https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Sudoku-by-L2G-20050714.svg/250px-Sudoku-by-L2G-20050714.svg.png" style="height: 250px; width: 250px;"> <pre><strong>Input:</strong> board =  [["5","3",".",".","7",".",".",".","."] ,["6",".",".","1","9","5",".",".","."] ,[".","9","8",".",".",".",".","6","."] ,["8",".",".",".","6",".",".",".","3"] ,["4",".",".","8",".","3",".",".","1"] ,["7",".",".",".","2",".",".",".","6"] ,[".","6",".",".",".",".","2","8","."] ,[".",".",".","4","1","9",".",".","5"] ,[".",".",".",".","8",".",".","7","9"]] <strong>Output:</strong> true </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> board =  [["8","3",".",".","7",".",".",".","."] ,["6",".",".","1","9","5",".",".","."] ,[".","9","8",".",".",".",".","6","."] ,["8",".",".",".","6",".",".",".","3"] ,["4",".",".","8",".","3",".",".","1"] ,["7",".",".",".","2",".",".",".","6"] ,[".","6",".",".",".",".","2","8","."] ,[".",".",".","4","1","9",".",".","5"] ,[".",".",".",".","8",".",".","7","9"]] <strong>Output:</strong> false <strong>Explanation:</strong> Same as Example 1, except with the <strong>5</strong> in the top left corner being modified to <strong>8</strong>. Since there are two 8's in the top left 3x3 sub-box, it is invalid. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>board.length == 9</code></li> 	<li><code>board[i].length == 9</code></li> 	<li><code>board[i][j]</code> is a digit <code>1-9</code> or <code>'.'</code>.</li> </ul> </div>|https://www.youtube.com/watch?v=TjFXEUCMqI8
Arrays & Hashing|Longest Consecutive Sequence|Medium|<div class="elfjS" data-track-load="description_content"><p>Given an unsorted array of integers <code>nums</code>, return <em>the length of the longest consecutive elements sequence.</em></p> <p>You must write an algorithm that runs in&nbsp;<code>O(n)</code>&nbsp;time.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> nums = [100,4,200,1,3,2] <strong>Output:</strong> 4 <strong>Explanation:</strong> The longest consecutive elements sequence is <code>[1, 2, 3, 4]</code>. Therefore its length is 4. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> nums = [0,3,7,2,5,8,4,6,0,1] <strong>Output:</strong> 9 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>0 &lt;= nums.length &lt;= 10<sup>5</sup></code></li> 	<li><code>-10<sup>9</sup> &lt;= nums[i] &lt;= 10<sup>9</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=P6RZZMu_maU
Two Pointers|Valid Palindrome|Easy|<div class="elfjS" data-track-load="description_content"><p>A phrase is a <strong>palindrome</strong> if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.</p> <p>Given a string <code>s</code>, return <code>true</code><em> if it is a <strong>palindrome</strong>, or </em><code>false</code><em> otherwise</em>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> s = "A man, a plan, a canal: Panama" <strong>Output:</strong> true <strong>Explanation:</strong> "amanaplanacanalpanama" is a palindrome. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> s = "race a car" <strong>Output:</strong> false <strong>Explanation:</strong> "raceacar" is not a palindrome. </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> s = " " <strong>Output:</strong> true <strong>Explanation:</strong> s is an empty string "" after removing non-alphanumeric characters. Since an empty string reads the same forward and backward, it is a palindrome. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= s.length &lt;= 2 * 10<sup>5</sup></code></li> 	<li><code>s</code> consists only of printable ASCII characters.</li> </ul> </div>|https://www.youtube.com/watch?v=jJXJ16kPFWg
